Episode,R_total,R_env,R_energy,R_passing,R_in_box,R_assist,R_role,R_approach
35,113.90487027687469,-1.0000001192092896,157.82987030667687,-61.0,0.0,0.0,18.07500045374036,0.0
36,69.43843714539283,-1.0000001192092896,156.7634371751952,-109.0,0.0,0.0,22.67500051110983,0.0
37,47.65852121479584,0.0,69.38352121479583,-33.299999952316284,0.0,0.0,11.275000661611557,0.30000001192092896
38,6.110382133095976,0.0,7.435382133095976,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
39,8.900942584857855,0.0,10.850942584857856,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
40,111.56456363013122,0.0,191.91456363013123,-98.89999997615814,0.0,0.0,17.650000724941492,0.9000000357627869
41,6.0932292888690185,0.0,7.418229288869019,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
42,6.125799047717888,0.0,7.450799047717888,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
43,7.697733108102231,0.0,9.022733108102232,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
44,121.3268795147724,0.0,166.8268795147724,-73.29999995231628,0.0,0.0,27.500000700354576,0.30000001192092896
45,174.4559395242876,-1.0000001192092896,232.90593955408985,-80.0,0.0,0.0,22.55000065639615,0.0
46,91.88134425529884,0.0,117.08134425529887,-42.0,0.0,0.0,16.50000061094761,0.30000001192092896
47,10.753683901316979,0.0,12.703683901316978,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
48,90.3490414570932,0.0,171.77404145709338,-102.59999990463257,0.0,0.0,20.575001001358032,0.6000000238418579
49,7.675466812757257,0.0,9.000466812757258,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
50,56.74901603967441,-1.0000001192092896,129.24901606947668,-86.0,0.0,0.0,14.500000655651093,0.0
51,212.20301376873348,0.0,291.4030137687334,-121.5,0.0,0.0,42.00000166520476,0.30000001192092896
52,40.27825496295864,0.0,63.57825496295864,-35.0,0.0,0.0,11.700000584125519,0.0
53,67.28720845282731,0.0,103.73720845282729,-49.0,0.0,0.0,12.250000417232513,0.30000001192092896
54,8.895673620370712,0.0,10.845673620370711,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
55,102.3199193311519,-1.0000001192092896,159.16991936095428,-73.0,0.0,0.0,17.150000516325235,0.0
56,8.933076578066904,0.0,10.883076578066904,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
57,105.69001957937104,0.0,131.190019579371,-47.5,-1.5,0.0,22.900001615285873,0.6000000238418579
58,135.21531783677204,0.0,170.74031783677202,-65.0,-1.5,0.0,30.375001788139343,0.6000000238418579
59,7.68113270661504,0.0,9.00613270661504,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
60,236.28499109957204,0.0,338.08499109957233,-136.49999982118607,0.0,0.0,32.600001245737076,2.1000000834465027
61,52.56708522231344,0.0,63.267085222313426,-17.0,0.0,0.0,6.000000149011612,0.30000001192092896
62,99.60111616707015,-1.0000001192092896,201.72611619687237,-131.29999995231628,0.0,0.0,29.87500164285302,0.30000001192092896
63,36.114028134770514,0.0,47.389028134770506,-18.0,0.0,0.0,6.4250002801418304,0.30000001192092896
64,7.343651958519504,0.0,9.293651958519504,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
65,74.9616475126132,0.0,87.11164751261317,-23.299999952316284,0.0,0.0,10.550000458955765,0.6000000238418579
66,14.786539622174109,0.0,18.68653962217411,-6.0,0.0,0.0,1.8000001311302185,0.30000001192092896
67,7.33000517270393,0.0,9.280005172703929,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
68,158.0192971271214,-1.0000001192092896,205.41929715692365,-72.0,0.0,0.0,25.300000850111246,0.30000001192092896
69,7.701099219035932,0.0,9.026099219035933,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
70,226.5286118025834,-1.0000001192092896,289.3786118323856,-105.59999990463257,0.0,0.0,42.85000168904662,0.9000000357627869
71,171.77452881985135,0.0,265.99952881985126,-132.0,0.0,0.0,37.475001219660044,0.30000001192092896
72,111.46394654329976,-1.0000001192092896,139.28894657310204,-40.0,0.0,0.0,13.175000358372927,0.0
73,206.08847465443498,-1.0000001192092896,301.33847468423767,-124.30000001192093,0.0,0.0,29.45000085234642,0.6000000238418579
74,75.63960248797444,0.0,122.7646024879744,-62.299999952316284,0.0,0.0,14.575000286102295,0.6000000238418579
75,68.01377867184391,0.0,91.53877867184391,-39.299999952316284,0.0,0.0,15.475000947713852,0.30000001192092896
76,74.03681546099618,0.0,147.8868154609961,-92.0,0.0,0.0,18.15000069141388,0.0
77,115.94562956803038,0.0,164.94562956803028,-68.30000001192093,0.0,0.0,19.00000075250864,0.30000001192092896
78,131.66304871593178,0.0,154.58804871593182,-40.0,0.0,0.0,17.075001023709774,0.0
79,15.658573374541986,0.0,24.608573374541994,-14.0,0.0,0.0,5.050000429153442,0.0
80,158.96735649500712,0.0,309.6423564950072,-182.09999990463257,-3.0,0.0,32.92500179633498,1.5000000596046448
