Episode,Total_Local_Reward,R_env,R_passing,R_in_box,R_assist,R_role,R_approach
1,0.6750000417232513,0.0,0.0,0.0,0.0,0.3750000298023224,0.30000001192092896
2,1.0500000715255737,0.0,0.0,0.0,0.0,0.7500000596046448,0.30000001192092896
3,1.0499999821186066,0.0,0.0,0.0,0.0,0.7500000596046448,0.30000001192092896
4,0.05000004172325134,0.0,-1.0,0.0,0.0,0.7500000596046448,0.30000001192092896
5,2.050000011920929,0.0,1.0,0.0,0.0,0.7500000596046448,0.30000001192092896
6,0.05000004172325134,0.0,-1.0,0.0,0.0,0.7500000596046448,0.30000001192092896
7,1.4250001013278961,0.0,0.0,0.0,0.0,1.1250000894069672,0.30000001192092896
8,-0.19999992847442627,0.0,-2.0,0.0,0.0,1.5000001192092896,0.30000001192092896
9,0.6750000417232513,0.0,0.0,0.0,0.0,0.3750000298023224,0.30000001192092896
10,0.6750000417232513,0.0,0.0,0.0,0.0,0.3750000298023224,0.30000001192092896
11,0.05000004172325134,0.0,-1.0,0.0,0.0,0.7500000596046448,0.30000001192092896
12,1.0500000715255737,0.0,0.0,0.0,0.0,0.7500000596046448,0.30000001192092896
13,0.6750000417232513,0.0,0.0,0.0,0.0,0.3750000298023224,0.30000001192092896
14,0.6750000417232513,0.0,0.0,0.0,0.0,0.3750000298023224,0.30000001192092896
15,2.525000214576721,0.0,-1.0,0.0,0.0,3.2250002324581146,0.30000001192092896
16,1.0500000715255737,0.0,0.0,0.0,0.0,0.7500000596046448,0.30000001192092896
17,0.42500007152557373,0.0,-1.0,0.0,0.0,1.1250000894069672,0.30000001192092896
18,-0.19999992847442627,0.0,-2.0,0.0,0.0,1.5000001192092896,0.30000001192092896
19,0.8000001013278961,0.0,-1.0,0.0,0.0,1.5000001192092896,0.30000001192092896
20,0.6750000417232513,0.0,0.0,0.0,0.0,0.3750000298023224,0.30000001192092896
21,1.0500000715255737,0.0,0.0,0.0,0.0,0.7500000596046448,0.30000001192092896
22,2.049999922513962,0.0,1.0,0.0,0.0,0.7500000596046448,0.30000001192092896
23,1.4250001013278961,0.0,0.0,0.0,0.0,1.1250000894069672,0.30000001192092896
24,0.05000007152557373,0.0,-1.0,0.0,0.0,0.7500000596046448,0.30000001192092896
