Episode,R_total,R_handover
1,-1.4000003337860107,-1.4000003337860107
2,-3.0000001192092896,-3.0000001192092896
3,-6.000000476837158,-6.000000476837158
4,-11.200000882148743,-11.200000882148743
5,-7.600000619888306,-7.600000619888306
6,-1.2000001668930054,-1.2000001668930054
7,-13.800000786781311,-13.800000786781311
8,-3.6000001430511475,-3.6000001430511475
9,-9.600000619888306,-9.600000619888306
10,-9.600000619888306,-9.600000619888306
11,-1.4000000953674316,-1.4000000953674316
12,-6.000000238418579,-6.000000238418579
13,-3.800000548362732,-3.800000548362732
14,0.7999995946884155,0.7999995946884155
15,-4.400000214576721,-4.400000214576721
16,-3.2000001668930054,-3.2000001668930054
17,-12.200000882148743,-12.200000882148743
18,-1.0000001192092896,-1.0000001192092896
19,-4.400000333786011,-4.400000333786011
20,-4.800000190734863,-4.800000190734863
21,-9.800000667572021,-9.800000667572021
22,-13.800000786781311,-13.800000786781311
23,-4.2000004053115845,-4.2000004053115845
24,-0.8000000715255737,-0.8000000715255737
25,-0.40000009536743164,-0.40000009536743164
26,-0.8000000715255737,-0.8000000715255737
27,-15.80000102519989,-15.80000102519989
28,-4.200000166893005,-4.200000166893005
29,-16.000000834465027,-16.000000834465027
30,-25.000001430511475,-25.000001430511475
31,-4.600000381469727,-4.600000381469727
32,-4.200000166893005,-4.200000166893005
33,-8.200000405311584,-8.200000405311584
34,-2.4000000953674316,-2.4000000953674316
35,-1.4000000953674316,-1.4000000953674316
36,-6.200000286102295,-6.200000286102295
37,-1.8000003099441528,-1.8000003099441528
38,0.9999998807907104,0.9999998807907104
39,-5.200000762939453,-5.200000762939453
40,-1.6000001430511475,-1.6000001430511475
41,0.7999999523162842,0.7999999523162842
42,-3.2000001668930054,-3.2000001668930054
43,-13.200000882148743,-13.200000882148743
44,-4.400000214576721,-4.400000214576721
45,-1.0000001192092896,-1.0000001192092896
46,-1.0000001192092896,-1.0000001192092896
47,-19.000001192092896,-19.000001192092896
48,-1.8000001907348633,-1.8000001907348633
49,0.39999938011169434,0.39999938011169434
50,-0.8000000715255737,-0.8000000715255737
51,-1.6000001430511475,-1.6000001430511475
52,-4.400000214576721,-4.400000214576721
53,-0.40000009536743164,-0.40000009536743164
54,0.9999998807907104,0.9999998807907104
55,-6.000000238418579,-6.000000238418579
56,-2.0000001192092896,-2.0000001192092896
57,-1.0000001192092896,-1.0000001192092896
58,-1.0000001192092896,-1.0000001192092896
59,-2.0000001192092896,-2.0000001192092896
60,-2.0000001192092896,-2.0000001192092896
61,-4.800000190734863,-4.800000190734863
62,-2.4000000953674316,-2.4000000953674316
63,-4.600000619888306,-4.600000619888306
64,-7.000000476837158,-7.000000476837158
65,-3.2000001668930054,-3.2000001668930054
66,1.1999999284744263,1.1999999284744263
67,1.1999999284744263,1.1999999284744263
68,-4.800000190734863,-4.800000190734863
69,-5.200000524520874,-5.200000524520874
70,-2.0000001192092896,-2.0000001192092896
71,-3.6000001430511475,-3.6000001430511475
72,-3.0000001192092896,-3.0000001192092896
73,-1.4000000953674316,-1.4000000953674316
74,-2.2000001668930054,-2.2000001668930054
75,-1.0000001192092896,-1.0000001192092896
76,-8.800000548362732,-8.800000548362732
77,-2.2000006437301636,-2.2000006437301636
78,0.9999998807907104,0.9999998807907104
79,2.799999952316284,2.799999952316284
80,-5.600000262260437,-5.600000262260437
81,2.1999999284744263,2.1999999284744263
82,-2.6000001430511475,-2.6000001430511475
83,0.9999998807907104,0.9999998807907104
84,-1.6000001430511475,-1.6000001430511475
85,-0.8000000715255737,-0.8000000715255737
86,-19.000001311302185,-19.000001311302185
87,-1.0000001192092896,-1.0000001192092896
88,-5.600000858306885,-5.600000858306885
89,-1.0000005960464478,-1.0000005960464478
90,3.5999999046325684,3.5999999046325684
91,-2.4000000953674316,-2.4000000953674316
92,1.1999999284744263,1.1999999284744263
93,-5.400000214576721,-5.400000214576721
94,-3.800000309944153,-3.800000309944153
95,-0.20000016689300537,-0.20000016689300537
96,-6.2000004053115845,-6.2000004053115845
97,-5.8000006675720215,-5.8000006675720215
98,-2.0000001192092896,-2.0000001192092896
99,-3.400000214576721,-3.400000214576721
100,6.7999995946884155,6.7999995946884155
101,-6.600000619888306,-6.600000619888306
102,0.7999999523162842,0.7999999523162842
103,-15.400000810623169,-15.400000810623169
104,-4.400000214576721,-4.400000214576721
105,1.199999451637268,1.199999451637268
106,-5.000000357627869,-5.000000357627869
107,-1.2000001668930054,-1.2000001668930054
108,-3.600000739097595,-3.600000739097595
109,0.7999999523162842,0.7999999523162842
110,2.1999999284744263,2.1999999284744263
111,4.399999618530273,4.399999618530273
112,-3.2000001668930054,-3.2000001668930054
113,-1.2000001668930054,-1.2000001668930054
114,1.7999999523162842,1.7999999523162842
115,0.5999997854232788,0.5999997854232788
116,-1.4000000953674316,-1.4000000953674316
117,1.3999994993209839,1.3999994993209839
118,2.1999999284744263,2.1999999284744263
119,2.999999165534973,2.999999165534973
120,-2.2000004053115845,-2.2000004053115845
121,-2.2000001668930054,-2.2000001668930054
122,0.19999980926513672,0.19999980926513672
123,-1.4000000953674316,-1.4000000953674316
124,-0.20000016689300537,-0.20000016689300537
125,2.399999976158142,2.399999976158142
126,0.19999992847442627,0.19999992847442627
127,1.7999998331069946,1.7999998331069946
128,-2.4000000953674316,-2.4000000953674316
129,-2.0000001192092896,-2.0000001192092896
130,3.199999451637268,3.199999451637268
131,-2.0000001192092896,-2.0000001192092896
