Episode,R_total,R_energy,R_handover
1,16.334433179308654,7.334433179308655,8.599999904632568
2,46.27974121224948,41.67974142682621,4.599999785423279
3,23.691222994853486,23.09122309022092,0.5999999046325684
4,25.705943262965942,21.505943334491516,4.199999928474426
5,36.589543887662494,29.989543983029925,6.599999904632568
6,80.25990499942135,70.25990535704922,9.999999642372131
7,78.14309286009757,69.74309324156731,8.399999618530273
8,44.67800607143308,36.07800616680051,8.599999904632568
9,37.600514145933836,32.00051424130127,5.599999904632568
10,74.73966964857885,60.139669863155575,14.599999785423279
11,242.83235145503107,193.2323521464449,49.59999930858612
12,26.869906601227722,23.069906648911438,3.799999952316284
13,159.2223131112701,135.02231365963283,24.199999451637268
14,26.402914158292823,21.60291420597654,4.799999952316284
15,33.160487769927045,28.56048786529448,4.599999904632568
16,60.42697714623026,46.826977241597675,13.599999904632568
17,44.32303705150426,41.323037289922844,2.999999761581421
18,44.58828941818457,38.18828956123572,6.3999998569488525
19,49.868178601585,41.468178744636155,8.399999856948853
20,34.88233521042365,27.082335258107364,7.799999952316284
21,105.75925089577069,85.1592512295567,20.59999966621399
22,37.11360116911565,30.513601264483075,6.599999904632568
23,26.715138109434193,21.91513815711791,4.799999952316284
24,39.71286933115402,35.91286949804702,3.7999998331069946
25,19.728682219194603,16.32868224303646,3.399999976158142
26,45.913923204399616,36.31392329976706,9.599999904632568
27,25.879466521757152,21.079466569440864,4.799999952316284
28,54.972359922865365,42.3723600182328,12.599999904632568
29,16.691095729669282,16.491095801194856,0.19999992847442627
30,279.79507959639443,254.19508004938984,25.5999995470047
31,111.16058903088619,82.76058929314664,28.399999737739563
32,89.50163572813412,79.501636085762,9.999999642372131
33,37.496322594108115,32.496322713317404,4.9999998807907104
34,30.207752194081824,25.007752265607397,5.199999928474426
35,27.367831480811255,25.36783160002054,1.9999998807907104
36,189.48096521549343,177.8809655492794,11.59999966621399
37,39.36485306090532,31.16485313243089,8.199999928474426
38,101.84909103363428,88.6490913435784,13.199999690055847
39,39.175414415314584,31.975414486840158,7.199999928474426
40,37.29848430552615,29.098484377051722,8.199999928474426
41,30.990543065638967,30.790543256373837,0.19999980926513672
42,216.33082340667585,206.7308238596711,9.5999995470047
43,24.82134867003426,23.221348765401693,1.5999999046325684
44,24.644268243712265,21.44426831523784,3.1999999284744263
45,38.33778890892356,33.93778905197471,4.3999998569488525
46,42.03845609952212,34.03845621873142,7.9999998807907104
47,31.789977098541414,24.989977146225133,6.799999952316284
48,237.97330630188753,215.9733065403061,21.99999976158142
49,31.561583561748346,25.16158358559021,6.399999976158142
50,222.4377224548618,202.2377226455967,20.199999809265137
51,45.01980579289249,32.619805816734356,12.399999976158142
52,32.274274935736706,23.27427493573671,9.0
53,19.20181478311243,16.401814830796148,2.799999952316284
54,17.864062844591988,18.264062939959416,-0.40000009536743164
55,17.672581653106164,14.272581676948018,3.399999976158142
56,40.73723744567041,30.93723749335412,9.799999952316284
57,40.360248493899405,32.76024858926683,7.599999904632568
58,54.18950047759995,43.18950059680924,10.99999988079071
59,28.031216020599164,25.431216115966595,2.5999999046325684
60,36.08441808548231,28.884418157007893,7.199999928474426
61,23.701840848581377,19.901840896265092,3.799999952316284
62,83.83348041843003,66.23348063300676,17.59999978542328
63,55.69368971065108,43.0936898060185,12.599999904632568
64,28.759203772847577,26.759203892056867,1.9999998807907104
65,26.464245909947646,21.664245957631362,4.799999952316284
66,88.92838218355743,69.92838242197604,18.99999976158142
67,28.20272838703993,26.802728530091077,1.3999998569488525
68,37.30925809333547,28.50925814101919,8.799999952316284
69,67.64816528498486,52.24816542803602,15.399999856948853
70,43.49872415063971,32.698724198323426,10.799999952316284
71,118.51236477511205,86.11236491816321,32.39999985694885
72,62.47170682449486,50.271707015229715,12.199999809265137
73,51.6234895074382,41.62348962664749,9.99999988079071
74,107.08382115038476,82.68382141264522,24.399999737739563
75,92.47295490322834,72.07295504627949,20.399999856948853
76,37.516487436561306,28.71648748424502,8.799999952316284
77,81.66423459996538,63.464234790700225,18.199999809265137
78,18.430225354477127,14.430225354477127,4.0
79,29.389471337878003,26.789471433245435,2.5999999046325684
80,64.41220785101014,47.812207946377555,16.59999990463257
81,63.18529202839938,49.18529214760866,13.99999988079071
82,17.888936142495847,14.488936166337703,3.399999976158142
83,113.17590962885804,89.97590981959293,23.199999809265137
84,291.44469101893117,266.2446914480845,25.199999570846558
85,71.78724274238732,55.98724290928032,15.799999833106995
86,86.2681806811196,64.26818080032889,21.99999988079071
87,27.330585073382956,21.930585097224814,5.399999976158142
88,86.52725580612868,65.12725594917983,21.399999856948853
89,32.18618928538741,24.786189309229265,7.399999976158142
90,36.32361887107811,29.12361894260368,7.199999928474426
91,31.952244298541782,25.152244346225498,6.799999952316284
92,41.80575213443776,32.60575220596334,9.199999928474426
93,27.739286287353202,23.539286358878776,4.199999928474426
94,33.273889123912916,26.47388917159664,6.799999952316284
95,32.2259302343656,23.825930258207457,8.399999976158142
96,275.1593516898662,245.35935197596854,29.799999713897705
97,120.54709978931984,85.3470998608454,35.199999928474426
98,133.84381455249923,101.44381469555039,32.39999985694885
99,76.16728736263472,53.967287434160305,22.199999928474426
100,19.450080215313584,14.450080215313585,5.0
101,42.1908126039942,34.59081269936163,7.599999904632568
102,42.12984693016337,32.32984697784708,9.799999952316284
103,120.17246242003642,83.972462491562,36.199999928474426
104,88.81998899331643,65.41998913636759,23.399999856948853
105,96.92639734669517,69.3263974420626,27.59999990463257
106,146.01458505869587,105.81458524943075,40.19999980926514
107,82.64501733173941,61.64501745094871,20.99999988079071
108,64.47391690044572,47.87391699581315,16.59999990463257
109,36.16391608204541,28.36391612972913,7.799999952316284
110,18.384861008880172,14.384861008880172,4.0
111,37.87950877141233,30.07950881909605,7.799999952316284
112,203.61929833661247,178.81929850350545,24.799999833106995
113,27.7240015673907,22.924001615074413,4.799999952316284
114,92.67723637594995,66.47723644747552,26.199999928474426
115,101.73300172727795,72.13300182264538,29.59999990463257
116,222.4877124021155,189.68771244979928,32.799999952316284
