Episode,R_total,R_env,R_passing,R_in_box,R_assist,R_role,R_approach
98,74.89999577,0,-11.30000001,0,0,58.4799974,27.71999887
99,41.15999636,-1.000000119,-9.5,0,0,43.31999658,8.339999832
100,7.959999532,0,-2.5,0,0,9.799999416,0.659999996
101,13.15999869,0,-5.800000012,0,0,16.67999875,2.280000009
102,60.2199952,0,-19.59999996,0,0,67.27999698,12.53999979
103,5.099999726,0,0,0,0,4.799999714,0.300000012
104,17.79999906,0,-4.5,0,0,20.91999906,1.379999988
105,63.23999278,-1.000000119,-30.49999994,0,0,71.83999597,30.89999945
106,36.83999859,0,-4.5,0,0,27.39999786,17.93999948
107,4.599999785,0,-0.5,0,0,4.799999714,0.300000012
108,35.79999611,0,-15.5,0,0,44.39999637,6.899999864
109,13.81999892,0,-4,0,0,16.079999,1.739999972
110,41.77999656,0,-20.30000001,0,0,55.35999699,6.719999894
111,40.03999597,-1.000000119,-26.30000001,0,0,38.47999673,28.85999913
112,8.979999661,0,0,-11,0,8.67999965,0.300000012
113,37.07999589,-1.000000119,-19.5,0,0,52.3599956,5.219999902
114,66.39999644,-1.000000119,-19.30000001,0,0,64.55999679,28.13999934
115,37.57999737,-1.000000119,-14.29999995,1,0,45.19999773,7.679999873
116,30.85999651,-1.000000119,-23.89999998,0,0,45.55999652,10.19999986
117,38.97999506,-1.000000119,-22.29999995,0,0,55.19999668,7.079999886
118,13.21999863,0,-8,0,0,19.83999848,1.379999988
119,25.13999838,0,-2,0,0,24.43999845,2.699999958
120,48.59999516,-1.000000119,-29.29999995,0,0,68.99999614,9.899999857
121,96.07999433,0,-23.79999995,0,0,71.67999656,52.19999811
122,58.35999741,0,-24.39999992,0,0,55.51999664,27.23999943
123,42.75999755,-1.000000119,-14.80000001,0,0,52.1999983,6.359999903
124,6.819999486,0,-1,0,0,7.15999946,0.659999996
125,54.13999677,-1.000000119,-17.30000001,0,0,54.79999612,17.63999937
126,3.599999815,0,-1.5,0,0,4.799999714,0.300000012
127,4.69999969,0,-1,0,0,5.399999678,0.300000012
128,30.83999804,0,-13.09999996,0,0,32.47999811,11.45999981
129,54.91999723,0,-11.39999992,0,0,52.75999922,13.55999975
130,28.0199984,0,-11.89999998,-1,0,32.71999811,7.199999958
131,5.819999635,0,-1,0,0,6.159999639,0.659999996
132,4.099999726,0,-1,0,0,4.799999714,0.300000012
133,81.05999584,0,-27,0,0,53.39999646,54.65999819
134,7.299999535,0,0,0,0,6.159999579,1.139999986
135,52.41999651,0,-16.30000001,0,0,57.07999778,11.63999973
136,5.599999785,0,0.5,0,0,4.799999714,0.300000012
137,37.13999695,-1.000000119,-16,1,0,38.35999788,15.77999932
138,43.49999307,-1.000000119,-64.5,0,0,79.59999672,29.39999954
139,4.099999726,0,-1,0,0,4.799999714,0.300000012
140,38.8399969,-1.000000119,-23.5,0,0,49.35999765,13.97999963
141,3.899999648,0,-3,0,0,6.599999607,0.300000012
142,24.89999866,0,-5.299999952,0,0,27.55999833,2.639999986
143,102.9999932,0,-11,0,0,65.55999631,46.43999834
144,76.41999441,0,-15.60000002,0,0,64.03999609,25.97999929
145,14.63999891,0,-5.5,0,0,18.03999898,2.099999964
146,93.01999625,0,-16.90000004,0,0,69.5599981,42.35999864
147,65.91999573,0,-34.09999996,0,0,69.55999475,32.45999917
148,39.63999741,-1.000000119,-13.80000001,1,0,45.43999813,8.999999844
149,4.099999726,0,-1,0,0,4.799999714,0.300000012
150,5.099999726,0,0,0,0,4.799999714,0.300000012
151,4.69999969,0,-1,0,0,5.399999678,0.300000012
152,5.099999845,0,0,0,0,4.799999714,0.300000012
153,62.01999803,-1.000000119,-15.29999995,0,0,54.31999882,23.99999937
154,5.299999535,0,-2,0,0,6.639999539,0.659999996
155,79.07999348,-1.000000119,-38.49999994,0,0,75.55999731,43.01999871
156,7.839999616,0,0.5,0,0,7.039999485,0.300000012
157,7.159999669,0,0.5,0,0,6.359999597,0.300000012
158,104.499993,-1.000000119,-24,0,0,77.99999675,49.49999818
159,50.07999668,0,-9,0,0,35.27999768,19.79999938
160,70.81999663,0,-29.89999998,0,0,54.91999713,37.79999914
161,94.07999476,-1.000000119,-48.59999996,1,0,97.4799948,46.1999988
162,12.43999881,0,-10.5,0,0,21.6799987,1.25999999
163,72.61999272,0,-17.40000004,0,0,57.3599962,36.65999877
164,61.35999545,-1.000000119,-14.80000001,0,0,51.83999742,25.3199991
165,36.73999719,0,-21,0,0,49.39999714,8.339999832
166,52.89999706,0,-2,0,0,35.95999831,26.93999897
167,50.63999517,-1.000000119,-19.79999995,0,0,59.07999636,12.35999976
168,52.33999558,0,-23,0,0,54.39999637,20.93999943
169,3.799999744,0,-2.5,0,0,5.999999642,0.300000012
170,4.739999563,0,-2,0,0,6.439999521,0.300000012
171,53.87999297,0,-69.00000006,0,0,83.87999587,38.99999907
172,35.49999765,-1.000000119,-21.29999995,0,0,43.27999897,14.51999971
173,9.339999527,0,-2,0,0,11.03999949,0.300000012
174,24.65999949,1.000000119,0,0,1,15.87999922,6.779999793
175,5.819999635,0,-1,-6,0,6.159999639,0.659999996
176,70.55999593,-1.000000119,-36,0,0,71.55999593,35.99999921
177,49.77999646,-1.000000119,-20.30000001,0,0,60.87999789,10.19999978
178,6.299999833,0,0,0,0,5.999999642,0.300000012
179,41.33999714,0,-18,0,0,44.87999864,14.45999963
180,45.45999672,-1.000000119,-18.5,0,0,47.4399974,17.5199995
181,5.099999726,0,0,0,0,4.799999714,0.300000012
182,41.81999747,0,-14.60000002,0,0,41.59999776,14.81999958
183,67.39999732,0,-12,0,0,42.91999704,36.47999876
184,5.299999654,0,-1,0,0,5.999999642,0.300000012
185,4.559999824,0,-0.5,0,0,4.759999692,0.300000012
186,66.43999442,-1.000000119,-34.80000001,0,0,73.4799958,32.7599991
187,3.69999972,0,-2,0,0,5.399999678,0.300000012
188,5.599999785,0,0.5,0,0,4.799999714,0.300000012
189,4.599999785,0,-0.5,0,0,4.799999714,0.300000012
190,41.79999641,-1.000000119,-37.5,0,0,53.47999799,26.81999908
191,6.759999692,0,0.5,0,0,5.959999621,0.300000012
192,7.419999599,0,0,0,0,6.759999603,0.659999996
193,48.63999605,-1.000000119,-15.80000001,0,0,56.55999705,8.879999846
194,44.63999707,-1.000000119,-15.79999995,0,0,55.19999662,6.239999905
195,14.3599993,0,-7.800000012,0,0,20.11999941,2.039999999
196,29.31999703,0,-18.10000002,0,0,39.07999794,8.339999899
197,108.5599954,0,-46.39999998,0,0,86.19999658,68.75999838
198,32.99999547,-1.000000119,-31.29999995,0,0,55.03999735,10.25999983
199,59.77999593,-1.000000119,-11.5,0,0,55.99999642,14.27999973
200,3.099999726,0,-2,-2,0,4.799999714,0.300000012
201,4.099999726,0,-1,0,0,4.799999714,0.300000012
202,4.69999969,0,-3,0,0,7.399999678,0.300000012
203,33.63999696,0,-14.30000001,0,0,45.11999738,14.81999961
204,80.81999628,-1.000000119,-10.10000002,0,0,59.83999658,34.0799989
205,57.23999602,-1.000000119,-19,0,0,50.95999783,26.27999912
206,35.35999768,0,-16.5,0,0,42.91999836,8.939999782
207,6.779999763,0,0,0,0,6.119999617,0.659999996
208,27.75999865,0,-6.100000024,0,0,28.75999844,5.099999957
209,32.61999863,0,-11.30000001,0,0,38.99999851,4.919999927
210,58.71999665,0,-22.5,0,0,59.91999826,21.29999917
211,70.85999653,0,-11.5,-2,0,53.7199973,32.63999874
212,39.33999746,-1.000000119,-10,0,0,44.15999764,6.17999988
213,45.53999693,-1.000000119,-13.30000001,0,0,52.27999789,7.559999876
214,36.03999674,0,-20.79999995,0,0,39.07999833,17.75999932
215,6.919999719,0,-0.5,0,0,6.759999603,0.659999996
216,4.799999714,0,-1.5,0,0,5.999999642,0.300000012
217,98.339995,-1.000000119,-24.10000002,0,0,77.51999624,49.91999854
218,49.35999714,0,-15.5,0,0,49.19999869,15.65999939
219,5.099999726,0,0,-4,0,4.799999714,0.300000012
220,67.53999561,-1.000000119,-24.5,0,0,58.63999785,38.39999868
221,9.259999514,0,0,0,0,8.599999487,0.659999996
222,41.29999813,0,-16,0,0,42.71999799,14.57999948
223,47.63999645,0,-12.5,0,0,48.31999791,11.81999967
224,40.55999817,-1.000000119,-11.5,0,0,43.39999707,9.659999803
225,50.47999568,-1.000000119,-14.69999999,0,0,54.95999651,11.21999987
226,4.419999719,0,-2,0,0,6.119999707,0.300000012
227,50.87999623,-1.000000119,-12.5,0,0,53.87999757,10.49999978
228,66.07999586,-1.000000119,-17,0,0,65.71999788,18.35999948
229,4.259999812,0,-1,0,0,4.9599998,0.300000012
230,86.13999353,0,-17.5,3,0,69.23999567,32.39999896
231,24.09999937,1.000000119,-3,0,1,16.27999943,8.819999635
232,6.859999597,0,-2,0,0,8.559999585,0.300000012
233,5.499999769,0,-1,0,0,6.19999975,0.300000012
234,54.25999458,0,-17.80000001,0,0,61.07999739,10.97999988
235,6.739999592,0,0,0,0,6.079999596,0.659999996
236,48.53999654,0,-10,0,0,39.83999717,20.69999942
237,101.6599913,0,-27.40000004,-2,0,79.03999631,58.01999839
238,39.55999668,-1.000000119,-18.80000001,0,0,48.31999829,11.03999972
239,3.179999769,0,-2,-2,0,4.879999757,0.300000012
240,54.99999598,0,-10,0,0,46.75999761,18.2399992
241,112.1999917,0,-65.69999993,0,0,102.2399966,69.65999798
242,37.65999755,0,-11.09999996,0,0,39.39999872,9.359999843
243,4.179999769,0,-1,0,0,4.879999757,0.300000012
244,41.91999702,0,-17.5,-8,0,44.35999785,15.05999948
245,32.39999825,0,-5.800000012,-4,0,33.51999784,4.679999955
246,25.99999893,0,-5.100000024,0,0,26.35999876,4.739999965
247,121.7599916,0,-65.50000006,0,0,140.9999928,46.25999868
248,40.17999859,0,-6.800000012,4,0,35.91999841,15.05999953
249,4.69999969,0,-1,0,0,5.399999678,0.300000012
250,18.31999916,0,-2.5,0,0,18.83999902,1.979999974
251,26.37999856,0,-5.300000012,6,0,22.91999853,8.759999722
252,19.15999803,0,-8.099999964,0,0,22.75999891,4.499999985
253,7.539999604,0,0,0,0,7.239999592,0.300000012
254,24.35999817,0,-7.100000024,0,0,27.0799976,4.379999965
255,38.03999679,0,-24.5,0,0,48.07999781,14.45999949
256,46.77999823,0,-12,0,0,51.99999805,6.779999867
257,42.25999795,0,-10,0,0,30.11999899,22.13999919
258,43.13999821,-1.000000119,-15.60000002,0,0,50.55999884,9.179999866
259,22.15999861,0,-5.5,-2,0,19.07999879,8.579999566
260,23.57999894,0,-4,0,0,25.35999906,2.219999969
261,4.099999726,0,-1,0,0,4.799999714,0.300000012
262,13.87999877,0,-4.799999952,0,0,16.27999847,2.399999991
263,48.99999483,-1.000000119,-28.30000001,0,0,59.27999617,19.01999947
264,5.099999726,0,0,-4,0,4.799999714,0.300000012
265,56.13999563,-1.000000119,-40.5,0,0,65.95999604,31.67999887
266,79.69999705,-1.000000119,-47.39999998,0,0,78.19999766,51.89999868
267,59.3799969,-1.000000119,-24,0,0,65.11999816,19.25999923
268,90.97999257,0,-22.70000005,0,0,83.19999358,30.47999945
269,49.89999746,-1.000000119,-17,0,0,44.91999818,22.979999
270,35.73999648,-1.000000119,-13,27,0,44.27999739,5.459999897
271,6.819999635,0,0,0,0,6.159999639,0.659999996
272,43.07999532,-1.000000119,-38.70000005,-2,0,59.31999792,23.45999956
273,30.2999981,0,-7.5,0,0,24.55999935,9.239999652
274,3.099999756,0,-2,0,0,4.799999714,0.300000012
275,43.71999581,-1.000000119,-13.5,0,0,50.95999689,7.259999856
276,3.299999654,0,-3,1,0,5.999999642,0.300000012
277,26.37999779,0,-12.79999995,0,0,34.55999827,4.619999968
278,3.099999726,0,-2,0,0,4.799999714,0.300000012
279,59.95999761,0,-9.300000012,-7,0,38.35999887,30.89999911
280,5.139999747,0,0,0,0,4.839999735,0.300000012
281,59.13999263,-1.000000119,-56.90000004,0,0,84.63999577,32.39999925
282,57.29999764,0,-13.5,0,0,53.27999738,17.51999955
283,65.35999385,-1.000000119,-18.5,-2,0,59.6399972,29.21999871
284,23.75999767,0,-9.800000012,0,0,28.27999932,5.279999927
285,64.23999579,0,-19.5,0,0,57.51999827,26.21999903
286,4.099999726,0,-1,0,0,4.799999714,0.300000012
287,100.2999924,0,-11.5,0,0,65.95999563,45.83999796
288,26.93999825,0,-7,0,0,28.87999794,9.059999764
289,37.33999775,-1.000000119,-17.30000001,2,0,47.47999818,8.159999862
290,4.099999726,0,-1,0,0,4.799999714,0.300000012
291,56.69999726,-1.000000119,-23,0,0,55.67999806,25.01999889
292,57.15999477,-1.000000119,-29.59999996,0,0,69.75999706,17.9999997
293,45.93999757,-1.000000119,-12.5,0,0,44.63999867,16.79999941
294,35.59999663,-1.000000119,-19.5,0,0,36.95999824,19.13999937
295,4.299999654,0,-2,0,0,5.999999642,0.300000012
296,50.61999425,0,-33.80000007,0,0,57.83999704,26.57999957
297,38.47999763,0,-27.10000002,0,0,46.07999812,19.49999952
298,88.91999352,-1.000000119,-18.5,0,0,70.11999638,36.29999863
299,3.859999657,0,-2,0,0,5.19999966,0.659999996
300,5.099999726,0,0,0,0,4.799999714,0.300000012
301,5.099999726,0,0,0,0,4.799999714,0.300000012
302,4.099999756,0,-1,0,0,4.799999714,0.300000012
303,56.21999633,-1.000000119,-43.80000001,0,0,72.27999753,28.73999891
304,47.21999654,0,-12.30000001,-3,0,43.43999809,16.07999942
305,32.43999654,-1.000000119,-29,0,0,44.55999736,17.87999952
306,33.19999692,0,-19.5,-1,0,44.11999764,8.579999819
307,6.19999975,0,0.5,0,0,5.399999678,0.300000012
308,56.5999966,0,-14.30000001,0,0,44.43999779,26.4599991
309,8.459999681,0,1,0,0,7.159999549,0.300000012
310,39.63999613,-1.000000119,-12.80000001,-6,0,47.55999734,5.879999913
311,4.599999785,0,-0.5,0,0,4.799999714,0.300000012
312,31.45999685,0,-25.30000001,0,0,46.91999805,9.839999825
313,21.2799973,-1.000000119,-32.80000001,0,0,46.99999864,16.07999967
314,4.739999741,0,-1,0,0,5.4399997,0.300000012
315,74.03999407,0,-18.29999995,0,0,61.79999769,36.53999864
316,35.71999478,-1.000000119,-19.80000001,0,0,47.39999701,9.119999841
317,83.01999516,-1.000000119,-38.59999996,0,0,80.67999731,41.93999856
318,33.61999837,0,-15,0,0,33.55999893,15.05999947
319,4.819999635,0,-2,0,0,6.159999639,0.659999996
320,63.01999614,-1.000000119,-10.5,0,0,52.07999837,22.43999942
321,22.2999991,0,-9.300000012,-2,0,22.59999919,8.999999747
322,5.419999599,0,-2,0,0,6.759999603,0.659999996
323,155.0399939,0,-34.99999994,8,0,116.1599944,77.87999789
324,33.65999828,0,-9,0,0,25.79999885,16.85999926
325,44.03999744,-1.000000119,-19.80000001,1,0,55.95999785,8.879999846
326,57.03999506,-1.000000119,-14.5,-3,0,59.27999659,13.25999968
327,36.67999515,0,-33.80000001,0,0,59.67999649,10.79999981
328,70.19999622,0,-14,0,0,55.51999737,28.67999879
329,61.29999578,0,-18,0,0,57.75999758,21.53999893
330,48.73999843,0,-8.300000012,-8,0,45.0399987,11.99999972
331,62.69999618,-1.000000119,-19,0,0,59.11999731,23.57999924
332,59.15999718,0,-18.60000002,0,0,49.87999794,29.87999897
333,44.37999599,0,-17.5,0,0,44.47999866,17.39999948
334,22.35999847,0,-9.799999952,0,0,25.07999831,7.079999842
335,65.659995,-1.000000119,-21.5,0,0,61.83999623,28.31999909
336,55.33999657,-1.000000119,-17.40000004,-2,0,61.55999833,12.17999981
337,101.0799945,0,-26.40000004,6,0,65.83999586,65.63999826
338,61.59999525,0,-16.80000007,0,0,50.55999666,27.8399993
339,88.11999492,0,-13.10000002,0,0,70.63999552,32.57999927
340,84.73999579,0,-14.39999998,0,0,66.47999749,36.65999889
341,4.69999972,0,-1,0,0,5.399999678,0.300000012
342,98.49999203,0,-31.39999998,0,0,88.19999476,41.6999986
343,8.539999425,0,0,-4,0,8.239999413,0.300000012
344,25.15999871,0,-4.099999905,0,0,24.15999852,5.099999972
345,5.099999726,0,0,0,0,4.799999714,0.300000012
346,36.79999711,-1.000000119,-22.80000001,-8,0,51.83999805,8.759999849
347,6.299999654,0,0,0,0,5.999999642,0.300000012
348,127.1399891,0,-71.69999981,0,0,143.3999949,55.43999863
349,72.89999405,-1.000000119,-21.80000001,0,0,64.99999613,32.69999875
350,52.21999617,0,-14.30000001,0,0,55.71999666,10.7999998
351,4.819999635,0,-2,0,0,6.159999639,0.659999996
352,45.07999584,-1.000000119,-19,0,0,46.59999768,18.47999941
353,4.099999726,0,-1,0,0,4.799999714,0.300000012
354,68.47999628,-1.000000119,-18.5,0,0,70.15999496,29.81999905
355,55.11999379,0,-56.90000004,0,0,92.15999688,31.85999928
356,40.13999566,0,-16,3,0,47.67999668,8.45999983
357,50.81999557,0,-12,1,0,48.47999717,14.33999953
358,5.299999654,0,-1,0,0,5.999999642,0.300000012
359,99.87999316,0,-29.10000002,0,0,78.99999283,49.97999834
360,65.1999954,0,-56.59999996,0,0,77.3999968,44.39999904
361,27.99999589,-1.000000119,-23.5,0,0,44.51999713,7.97999984
362,2.099999726,0,-3,0,0,4.799999714,0.300000012
363,54.99999726,-1.000000119,-3,0,0,37.99999898,20.99999914
364,5.099999726,0,0,0,0,4.799999714,0.300000012
365,4.67999965,0,-1.5,9,0,5.879999578,0.300000012
366,50.73999634,-1.000000119,-7,0,0,48.35999615,10.37999973
367,31.75999769,0,-15.79999995,0,0,30.51999736,17.0399994
368,5.099999726,0,0,0,0,4.799999714,0.300000012
369,4.859999716,0,0,-4,0,4.559999704,0.300000012
370,52.81999537,-1.000000119,-15.59999996,3,0,56.51999748,12.89999978
371,66.57999516,-1.000000119,-25.5,0,0,67.35999717,27.71999928
372,35.87999658,-1.000000119,-28.80000001,0,0,49.59999655,16.07999969
373,52.95999655,0,-21.5,0,0,54.71999639,19.73999938
374,78.57999716,0,-29.60000002,0,0,53.39999788,54.77999776
375,6.779999554,0,0,-6,0,6.479999542,0.300000012
376,36.45999722,-1.000000119,-20.5,0,0,42.3599972,15.59999952
377,23.65999857,0,-6.5,0,0,27.5199984,2.639999978
378,41.01999602,-1.000000119,-15.59999996,0,0,51.07999736,6.539999925
379,7.419999599,0,0,0,0,6.759999603,0.659999996
380,74.17999303,-1.000000119,-37.70000005,15,0,70.83999658,44.03999895
381,18.51999891,0,-6.799999952,0,0,22.91999833,2.399999991
382,39.27999777,0,-16.0999999,-8,0,44.0399977,11.33999977
383,51.49999647,-1.000000119,-17,0,0,51.91999695,17.57999939
384,6.699999511,0,0,0,0,6.399999499,0.300000012
385,46.65999499,-1.000000119,-68.99999982,4,0,70.15999632,46.49999892
386,5.099999726,0,0,0,0,4.799999714,0.300000012
387,62.41999574,0,-19.30000001,0,0,44.35999866,33.35999897
388,79.15999454,0,-18,0,0,62.7199959,34.43999889
389,131.0599928,-1.000000119,-40.80000001,0,0,101.3599981,67.4999975
390,2.69999972,0,-3,0,0,5.399999678,0.300000012
391,6.499999583,0,-1,0,0,7.199999571,0.300000012
392,32.57999709,-1.000000119,-15,-6,0,42.99999812,5.579999894
393,3.69999969,0,-2,0,0,5.399999678,0.300000012
394,59.69999684,0,-12,0,0,60.71999691,10.97999977
395,3.69999972,0,-2,0,0,5.399999678,0.300000012
396,60.11999678,-1.000000119,-16.70000005,0,0,65.03999776,12.77999984
397,76.31999455,-1.000000119,-31.5,-2,0,77.6799963,31.1399988
398,54.5399971,0,-15.79999995,0,0,46.51999871,23.81999923
399,52.65999609,-1.000000119,-19,0,0,54.23999813,18.41999943
400,17.03999889,0,-1.800000012,0,0,15.83999878,2.999999978
401,33.85999845,0,-6.5,0,0,24.47999841,11.87999952
402,90.91999404,0,-30.80000001,0,0,75.91999665,43.7999985
403,26.65999791,1.000000119,-13,0,1,23.07999849,14.5799993
404,25.43999663,-1.000000119,-21.10000002,0,0,39.55999885,7.979999892
405,49.679995,-1.000000119,-19.79999995,0,0,57.27999683,13.19999975
406,19.09999841,0,-10,0,0,27.35999835,1.73999998
407,28.93999752,-1.000000119,-17,0,0,41.59999757,5.339999899
408,41.53999648,-1.000000119,-14.30000001,0,0,44.71999889,12.11999978
409,4.69999969,0,-1,0,0,5.399999678,0.300000012
410,43.53999691,0,-10,0,0,45.1999982,8.339999832
411,26.09999745,-1.000000119,-22,0,0,39.07999784,10.01999962
412,43.1399977,0,-6.600000024,0,0,36.47999805,13.25999968
413,95.57999453,-1.000000119,-37.79999995,0,0,93.23999446,49.1399985
414,3.69999972,0,-2,0,0,5.399999678,0.300000012
415,56.29999599,-1.000000119,-20.5,0,0,52.59999682,25.19999894
416,54.39999616,-1.000000119,-10.5,0,0,47.5999971,18.29999939
417,34.85999665,-1.000000119,-13.30000001,3,0,39.4399991,9.719999805
418,4.599999785,0,-0.5,0,0,4.799999714,0.300000012
419,5.099999726,0,0,0,0,4.799999714,0.300000012
420,69.31999642,-1.000000119,-18.5,0,0,62.11999825,32.69999869
421,45.61999464,0,-24.30000001,0,0,57.91999602,11.99999978
422,54.91999604,-1.000000119,-24,1,0,61.7999977,24.11999915
423,4.099999726,0,-1,0,0,4.799999714,0.300000012
424,4.199999809,0,-1.5,0,0,5.399999678,0.300000012
425,44.43999717,-1.000000119,-16.5,0,0,46.51999722,15.41999954
426,35.11999636,-1.000000119,-20.5,0,0,51.51999716,5.099999905
427,14.77999803,0,-11,0,0,22.71999866,3.05999995
