0,3.0000005
1,-1.0000001
2,-13.000001
3,-6.000001
4,1.0000001
5,-1.0000001
6,-3.0000005
7,3.0000005
8,-7.000001
9,0.0
0,-2.0000002
1,-2.0000002
2,-1.0000001
3,-10.000001
4,-3.0000005
5,-1.0000001
0,-6.000001
1,-14.000001
2,-2.0000002
3,-7.000001
4,-11.000001
0,0.0
1,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
0,0.0
1,-7.000001
2,-1.0000001
3,-1.0000001
4,-3.0000005
5,-7.000001
6,-2.0000002
7,-6.000001
